gender;maritalStatus;age;flagResidencialPhone;areaCodeResidencialPhone;bestPaymentDay;residenceType;monthsInResidence;flagResidenceTown_WorkingTown;monthsInTheJob;personalNetIncome;BAD
F;S;18;Y;31;20;P;216;Y;12;300.0;0
F;C;47;N;31;25;P;180;N;24;304.0;0
F;S;28;Y;31;25;O;12;Y;12;250.0;0
M;S;26;N;31;28;P;180;N;0;800.0;0
F;S;22;Y;31;12;A;0;Y;48;410.0;0
F;C;21;Y;23;28;A;24;Y;12;248.0;0
F;S;27;Y;31;20;A;0;Y;0;1000.0;1
F;C;57;Y;31;12;P;24;N;96;856.0;0
F;S;53;Y;31;18;P;60;N;24;738.0;1
F;C;32;Y;31;12;P;24;N;0;700.0;0
M;S;26;Y;27;1;P;240;N;12;1000.0;0
F;S;49;N;50;20;P;120;N;0;225.0;0
M;O;44;Y;31;8;P;72;Y;12;370.0;0
F;V;46;N;50;12;P;360;N;120;520.0;0
M;S;20;Y;31;28;P;24;Y;12;500.0;1
M;C;26;Y;5;18;C;264;N;36;490.0;1
M;C;17;N;50;12;A;12;N;12;426.0;1
F;C;20;Y;31;28;P;120;N;0;500.0;0
F;C;41;Y;50;8;P;12;Y;120;1175.0;0
M;S;20;Y;50;12;P;12;Y;24;285.0;1
F;D;64;Y;50;3;A;12;Y;60;700.0;1
F;S;46;Y;31;8;P;72;N;12;442.0;0
M;C;24;N;31;20;P;240;Y;12;313.0;0
F;S;23;N;31;18;P;276;Y;0;280.0;1
F;C;36;N;50;8;P;240;N;12;250.0;0
F;S;40;Y;31;28;P;24;Y;0;1000.0;0
F;S;23;Y;50;12;P;36;Y;24;390.0;0
F;S;27;Y;31;23;P;24;Y;12;350.0;0
M;S;18;Y;31;23;P;228;N;0;800.0;1
F;O;31;N;50;28;P;168;Y;72;451.0;0
F;S;24;Y;31;1;P;96;N;0;700.0;1
F;O;30;Y;31;12;O;240;N;60;300.0;1
F;S;21;Y;31;8;C;252;Y;36;295.0;0
F;S;39;Y;31;18;A;24;Y;0;220.0;0
M;C;55;Y;31;8;P;72;N;12;1174.0;0
F;S;66;Y;31;12;P;48;Y;288;365.0;0
M;S;23;N;50;3;O;12;Y;24;355.0;0
F;C;31;Y;31;3;P;360;N;0;840.0;0
F;S;18;Y;50;12;P;96;N;12;350.0;1
F;S;23;Y;50;18;P;276;N;24;300.0;0
F;O;17;Y;34;12;P;216;Y;24;200.0;1
F;S;35;N;50;25;A;12;N;36;400.0;1
F;S;19;Y;31;12;A;12;Y;12;372.0;0
F;S;42;Y;31;12;A;60;Y;36;472.0;0
F;S;32;Y;31;1;P;120;Y;12;733.0;0
M;S;20;Y;31;8;P;24;Y;12;545.0;0
F;C;53;Y;31;18;P;240;N;36;300.0;0
F;S;23;Y;31;22;P;72;N;24;375.0;0
F;S;21;N;31;25;O;216;N;0;292.0;0
F;S;62;Y;31;12;P;300;N;48;380.0;0
M;S;19;Y;31;12;P;12;Y;12;240.0;1
F;S;21;Y;31;8;A;0;Y;12;410.0;0
F;O;38;N;50;12;P;144;Y;108;180.0;0
F;S;18;Y;31;12;A;12;Y;12;197.0;0
M;C;39;Y;50;12;P;60;Y;120;815.0;0
F;C;38;Y;31;12;P;96;N;12;200.0;0
F;C;40;Y;31;12;O;156;Y;144;400.0;0
F;S;23;Y;31;12;P;216;N;12;210.0;1
F;C;23;Y;31;23;P;216;Y;12;277.0;0
F;S;24;Y;31;18;P;36;Y;0;240.0;0
M;C;32;Y;31;8;A;48;N;168;1000.0;1
F;V;62;Y;31;8;P;360;N;0;470.0;0
M;S;19;Y;31;20;P;60;Y;48;154.0;0
M;C;34;N;50;28;A;12;Y;12;250.0;0
F;C;41;Y;31;18;A;12;N;240;200.0;0
F;S;20;Y;31;28;A;24;N;0;350.0;0
M;S;20;Y;50;8;C;216;Y;24;764.0;0
F;S;34;N;31;12;A;24;Y;168;400.0;0
F;S;19;Y;50;12;C;36;Y;12;200.0;1
F;S;38;Y;31;12;P;288;N;12;700.0;1
M;S;23;Y;31;20;C;252;Y;12;296.0;1
F;S;21;Y;31;1;P;12;Y;0;180.0;0
F;C;57;N;31;18;P;36;N;0;519.0;0
F;V;49;Y;31;18;P;120;N;0;336.0;0
F;S;19;Y;31;28;P;228;Y;12;219.0;1
M;S;28;Y;31;1;A;12;Y;12;1029.0;0
F;S;28;Y;31;12;P;24;N;24;1000.0;0
M;C;56;Y;31;12;P;300;N;12;306.0;0
F;S;20;Y;31;8;P;48;Y;12;244.0;1
M;O;28;N;50;8;P;336;N;12;450.0;0
F;C;45;Y;31;3;P;180;N;0;996.0;0
M;S;22;Y;31;12;P;120;Y;12;400.0;1
F;S;38;Y;31;8;A;72;Y;168;300.0;0
F;C;51;Y;31;8;P;24;N;0;452.0;0
F;S;37;Y;31;18;P;156;Y;108;380.0;0
F;C;55;Y;31;18;P;336;N;0;0.0;0
F;C;48;Y;31;8;P;156;Y;204;1300.0;0
M;O;64;Y;31;8;P;36;N;48;458.0;0
F;D;41;Y;31;12;P;36;Y;72;820.0;0
F;C;36;Y;50;3;P;132;N;60;500.0;0
F;S;52;Y;31;12;P;360;Y;252;400.0;0
F;C;52;Y;5;8;P;300;N;60;1399.0;0
F;C;41;Y;5;12;P;84;N;0;0.0;0
M;S;18;Y;50;20;P;120;N;60;600.0;0
F;S;37;Y;31;1;P;360;Y;60;420.0;0
F;S;19;Y;31;12;C;228;Y;12;381.0;0
M;S;25;Y;31;3;P;120;N;0;598.0;0
F;V;46;Y;50;18;P;192;N;84;656.0;0
F;C;34;Y;31;3;A;72;N;132;692.0;0
F;O;51;Y;31;12;P;492;N;36;400.0;1
M;C;64;Y;31;8;P;108;N;96;449.0;0
F;S;36;Y;31;18;P;24;N;48;550.0;0
F;S;34;N;31;28;C;60;N;84;540.0;0
M;S;19;N;50;12;P;180;Y;12;182.0;0
M;C;43;Y;31;3;P;60;Y;48;1300.0;0
M;S;49;N;31;25;P;60;N;0;502.0;0
M;S;32;N;50;18;O;12;Y;24;226.0;0
F;D;62;Y;31;25;P;360;N;12;727.0;0
F;S;22;Y;31;28;P;264;N;0;380.0;0
F;C;19;Y;31;12;P;144;Y;0;701.0;0
M;S;22;N;50;8;A;24;Y;0;202.0;0
M;S;22;Y;31;8;P;264;N;12;350.0;0
M;S;21;Y;5;20;P;228;Y;12;300.0;1
F;S;47;Y;31;12;P;456;N;36;1030.0;0
F;S;18;N;50;25;P;156;Y;12;293.0;0
M;S;21;Y;31;8;P;60;Y;12;296.0;0
F;S;36;Y;31;12;O;180;Y;180;382.0;0
F;S;36;Y;5;20;P;384;N;24;180.0;0
M;S;27;N;50;18;P;48;Y;24;575.0;1
F;S;28;N;50;12;A;12;Y;24;700.0;0
F;C;40;Y;31;8;P;36;Y;12;291.0;0
M;O;30;Y;31;12;P;12;Y;0;270.0;0
M;S;21;Y;31;28;A;36;N;12;378.0;0
F;S;27;Y;31;12;P;36;N;0;669.0;1
M;C;24;Y;31;23;P;96;Y;60;476.0;0
F;S;34;Y;31;3;P;240;N;48;250.0;1
F;S;23;Y;31;25;C;24;Y;12;450.0;0
M;C;31;N;50;18;P;36;Y;0;705.0;0
F;C;31;N;50;1;P;12;Y;12;180.0;0
M;C;43;Y;5;18;P;72;N;216;1050.0;0
F;S;19;N;50;20;O;24;Y;12;500.0;1
F;S;22;Y;31;25;P;120;N;36;350.0;0
M;S;20;Y;1;3;C;240;N;24;350.0;0
M;C;38;Y;31;20;P;60;N;36;962.0;1
F;S;38;Y;31;8;P;36;N;24;700.0;0
M;S;19;N;31;12;P;180;N;36;255.0;1
F;C;27;Y;31;3;C;60;Y;108;1300.0;0
F;S;37;Y;31;8;P;360;Y;60;550.0;0
M;C;39;Y;31;25;P;72;Y;72;340.0;0
F;C;43;Y;31;8;A;36;N;12;570.0;0
F;C;26;N;31;20;P;36;N;12;180.0;0
M;O;24;Y;31;12;P;72;N;60;480.0;1
M;C;40;Y;31;12;A;12;N;168;1064.0;0
F;S;20;Y;31;3;P;156;Y;12;235.0;1
F;S;43;Y;31;28;P;60;Y;36;350.0;0
M;S;21;Y;31;8;A;24;N;12;309.0;0
F;S;34;Y;31;8;P;240;N;60;800.0;0
F;V;23;Y;31;28;A;0;N;36;399.0;1
F;S;37;Y;31;18;C;336;Y;48;1042.0;0
F;C;28;Y;31;12;P;12;N;12;546.0;0
F;C;56;Y;31;1;P;144;N;0;400.0;0
M;S;29;Y;31;3;O;12;Y;24;530.0;0
F;D;54;Y;31;12;P;372;N;60;340.0;0
F;S;31;Y;31;12;P;240;Y;72;1230.0;0
M;S;20;Y;31;28;C;252;Y;0;239.0;0
F;S;18;N;50;18;C;48;N;0;200.0;0
M;C;39;N;50;12;P;240;N;180;1000.0;0
F;C;44;Y;31;8;P;48;Y;288;1223.0;0
M;O;34;Y;31;12;P;324;N;24;280.0;0
F;S;39;N;31;8;A;48;Y;36;300.0;0
M;S;20;Y;31;16;P;240;Y;12;450.0;0
M;C;47;Y;31;12;P;180;Y;84;1000.0;0
F;S;21;N;50;12;P;12;N;12;700.0;1
F;D;45;Y;31;20;P;276;Y;12;203.0;0
F;C;58;Y;31;28;P;276;N;0;300.0;0
M;C;53;Y;31;8;P;336;N;0;1040.0;1
M;S;18;Y;23;18;C;24;N;0;200.0;0
F;S;19;Y;31;28;A;228;N;12;600.0;1
M;C;36;Y;50;8;P;108;Y;12;204.0;1
F;C;41;Y;31;12;P;204;N;0;300.0;0
M;C;24;Y;31;8;P;168;Y;48;321.0;0
F;C;28;Y;31;20;P;36;Y;12;900.0;0
F;S;23;Y;31;12;C;276;N;0;0.0;0
F;S;35;Y;31;12;P;48;N;24;390.0;0
F;S;22;Y;50;11;C;12;Y;12;220.0;0
F;S;41;Y;31;1;C;36;Y;24;559.0;0
F;C;36;Y;31;18;A;108;Y;12;1220.0;0
F;S;33;Y;50;25;P;60;Y;12;340.0;1
M;S;18;Y;31;1;P;180;Y;12;360.0;0
F;S;17;Y;31;28;P;36;N;12;180.0;0
M;S;19;N;31;28;C;24;N;0;300.0;1
F;C;38;Y;31;12;P;480;Y;0;180.0;0
F;V;48;Y;31;18;A;24;Y;156;640.0;0
F;O;42;N;31;28;P;240;N;24;550.0;0
M;S;38;Y;31;20;O;48;N;48;870.0;0
F;S;22;Y;31;18;P;264;Y;60;500.0;0
M;S;21;Y;31;8;A;12;Y;24;714.0;0
M;S;18;Y;31;12;P;216;N;12;610.0;0
F;S;23;Y;31;12;P;276;Y;12;200.0;0
M;C;33;Y;31;18;P;360;N;108;560.0;0
F;C;19;Y;31;1;P;12;N;12;200.0;0
F;C;38;Y;50;25;P;60;N;60;300.0;0
M;S;18;N;50;8;C;228;N;12;152.0;1
F;S;22;Y;31;28;P;24;N;0;600.0;0
F;S;56;Y;31;8;O;384;Y;24;480.0;0
F;O;48;Y;50;12;P;180;Y;0;220.0;0
M;S;30;Y;31;1;P;60;Y;12;379.0;0
F;S;27;N;31;18;A;36;Y;0;852.0;0
F;S;22;Y;50;8;C;276;Y;24;500.0;1
M;C;52;Y;31;25;P;144;Y;108;529.0;0
M;C;53;Y;31;18;P;264;N;288;698.0;0
F;C;44;Y;31;18;A;24;N;48;729.0;0
F;S;30;Y;5;25;C;324;N;12;326.0;1
M;S;19;N;31;20;P;12;N;12;1200.0;0
F;C;41;Y;31;20;P;240;N;0;0.0;1
F;S;21;Y;31;8;C;24;Y;84;260.0;1
F;S;28;N;50;18;P;324;Y;12;300.0;0
M;S;25;Y;31;8;P;12;Y;0;900.0;0
F;C;35;Y;31;1;P;72;N;24;1200.0;0
F;S;24;Y;5;18;P;288;Y;12;310.0;0
F;S;19;Y;31;3;C;192;Y;0;219.0;0
M;O;36;Y;50;20;P;480;N;0;200.0;1
F;O;34;N;50;18;P;408;N;12;270.0;0
F;V;61;N;50;8;P;60;N;372;1187.0;1
M;S;21;Y;31;18;P;252;Y;12;264.0;1
M;S;31;N;50;12;P;48;N;12;402.0;1
F;S;24;Y;31;12;P;216;Y;12;250.0;0
F;V;53;Y;31;18;P;240;N;0;360.0;0
F;C;54;Y;31;12;P;360;Y;12;250.0;0
F;O;47;N;50;3;A;276;N;0;0.0;0
M;S;59;Y;31;18;P;240;N;264;1080.0;0
F;S;38;Y;50;8;P;168;Y;60;526.0;1
F;S;52;Y;50;12;P;480;N;0;180.0;0
F;C;24;Y;31;12;P;252;N;0;0.0;1
